ID,施設名,施設所在地,緯度,経度,電話番号,施設属性,受入対象者,食事の提供,特別食,施設として保有する備品,避難者が利用できる設備,避難者が利用できる備品,避難者に対応できる行為
1,特別養護老人ホーム　センチュリー２１,宇部市大字山中126番地1,34.06008,131.333002,0836-01-0000,高齢者施設,高齢者,有,かゆ食、流動食,自家発電機、たん吸引器,車いすでの敷地内移動、車いす対応トイレ,エアーマット、ギャッジ機能のあるベッド,食事・排泄等介助、在宅酸素
2,特別養護老人ホーム　宇部あかり園,宇部市大字西岐波229番地105,33.966864,131.301488,0836-02-0000,高齢者施設,高齢者,有,かゆ食、流動食,自家発電機、たん吸引器,車いすでの敷地内移動、車いす対応トイレ,エアーマット、ギャッジ機能のあるベッド、ポータブルトイレ、車いす,食事・排泄等介助、在宅酸素、インシュリン注射、たん吸引
3,特別養護老人ホーム神原苑,宇部市神原町二丁目1番22号,33.949171,131.261288,0836-03-0000,高齢者施設,高齢者,有,かゆ食、流動食,自家発電機、たん吸引器,車いすでの敷地内移動、車いす対応トイレ,エアーマット、ギャッジ機能のあるベッド,導尿、手話対応（日常会話）、トイレ誘導等施設内移動の介助
4,特別養護老人ホーム　日の山園,宇部市大字東岐波字道田223番地,33.999158,131.352123,0836-04-0000,高齢者施設,高齢者,有,かゆ食、流動食、減塩食、軟野菜、人口濃厚流動食（経口摂取）,自家発電機、たん吸引器,車いすでの敷地内移動、車いす対応トイレ,エアーマット、ポータブルトイレ、車いす,食事・排泄等介助、たん吸引、導尿
5,障害者支援施設　日の山のぞみ苑,宇部市大字東岐波字横尾新開1451?1,33.999406,131.352224,0836-05-0000,障害者施設,高齢者,有,かゆ食、流動食、減塩食,自家発電機、たん吸引器,車いすでの敷地内移動、車いす対応トイレ,エアーマット、ギャッジ機能のあるベッド,食事・排泄等介助、在宅酸素
6,障害者支援施設　あした,宇部市大字東岐波746番地7,33.975236,131.321245,0836-06-0000,障害者施設,高齢者,有,かゆ食、流動食,自家発電機、たん吸引器,車いすでの敷地内移動、車いす対応トイレ,エアーマット、ギャッジ機能のあるベッド、車いす、歩行器,食事・排泄等介助、在宅酸素、トイレ誘導等施設内移動の介助
7,特別養護老人ホーム　むべの里,宇部市大字東須恵320番地1,33.971605,131.261463,0836-07-0000,高齢者施設,高齢者,有,かゆ食、流動食,自家発電機、たん吸引器,車いすでの敷地内移動、車いす対応トイレ,エアーマット、ギャッジ機能のあるベッド,在宅酸素
8,障害者支援施設　セルプ南風,宇部市あすとぴあ2町目2-15,33.98184,131.297148,0836-08-0000,障害者施設,高齢者,有,流動食,自家発電機、たん吸引器,車いすでの敷地内移動、車いす対応トイレ,ギャッジ機能のあるベッド、車いす、歩行器,食事・排泄等介助、在宅酸素、たん吸引
9,障害者支援施設　高嶺園,宇部市大字川上714番地11,33.992166,131.269306,0836-09-0000,障害者施設,高齢者,有,かゆ食、流動食,自家発電機、たん吸引器,車いすでの敷地内移動、車いす対応トイレ,エアーマット、ギャッジ機能のあるベッド,食事・排泄等介助、導尿、手話対応（日常会話）
10,うべくるみ園更生部,宇部市大字川上714番地13,33.990475,131.26886,0836-10-0000,障害者施設,高齢者,有,かゆ食、流動食,自家発電機、たん吸引器,車いすでの敷地内移動、車いす対応トイレ,ギャッジ機能のあるベッド、ポータブルトイレ、車いす,食事・排泄等介助、在宅酸素、たん吸引、導尿
11,特別養護老人ホーム楠園,宇部市大字船木833番地3,34.050257,131.192236,0836-11-0000,高齢者施設,高齢者,有,かゆ食,自家発電機、たん吸引器,車いすでの敷地内移動、車いす対応トイレ,エアーマット、ギャッジ機能のあるベッド,食事・排泄等介助、在宅酸素
12,ハイツふなき,宇部市大字船木833番地21,34.050445,131.192979,0836-12-0000,障害者施設,高齢者,有,かゆ食、流動食,自家発電機、たん吸引器,車いすでの敷地内移動、車いす対応トイレ,エアーマット、ギャッジ機能のあるベッド、ポータブルトイレ,インシュリン注射、トイレ誘導等施設内移動の介助
13,ヴィラふなき,宇部市大字船木833番地24,34.050218,131.19285,0836-13-0000,障害者施設,高齢者,有,かゆ食、流動食,自家発電機、たん吸引器,車いすでの敷地内移動、車いす対応トイレ,エアーマット、ギャッジ機能のあるベッド,食事・排泄等介助、インシュリン注射、たん吸引
14,老健ふなき,宇部市大字船木833番地,34.048604,131.192591,0836-14-0000,高齢者施設,高齢者,有,かゆ食、流動食、ミキサー食、減塩食,自家発電機、たん吸引器,車いすでの敷地内移動、車いす対応トイレ,エアーマット、尿器（尿瓶）,食事・排泄等介助
15,扶老会病院,宇部市大字船木833番地,34.048604,131.192591,0836-15-0000,高齢者施設,高齢者,有,かゆ食、流動食,自家発電機、たん吸引器,車いすでの敷地内移動、車いす対応トイレ,尿器（尿瓶）、ポータブルトイレ、車いす、歩行器,食事・排泄等介助、在宅酸素、手話対応（日常会話）
16,特別養護老人ホーム　アスワン山荘,宇部市大字木田40番地221,34.063236,131.28039,0836-16-0000,高齢者施設,高齢者,有,かゆ食、流動食,自家発電機、たん吸引器,車いすでの敷地内移動、車いす対応トイレ,エアーマット、ギャッジ機能のあるベッド,在宅酸素、インシュリン注射、たん吸引
17,山口県社会福祉事業団　このみ園,宇部市黒石北五丁目3番56号,33.988587,131.209871,0836-17-0000,障害者施設,身体障害者、精神障害者,有,かゆ食、流動食、きざみ食、ミキサー食、糖尿病食、減塩食、軟野菜、人口濃厚流動食（経口摂取）,自家発電機、たん吸引器、吸入器（ネプライザー）,車いすでの敷地内移動、車いす対応トイレ、障害者の個室対応（認知症）、障害者の個室対応（自閉症）、障害者の個室対応（精神疾患）,エアーマット、ギャッジ機能のあるベッド、尿器（尿瓶）、ポータブルトイレ、車いす、歩行器,食事・排泄等介助、在宅酸素、インシュリン注射、たん吸引、導尿、手話対応（日常会話）、トイレ誘導等施設内移動の介助
18,宇部協立病院,宇部市五十目山町16-23,33.937776,131.266421,0836-18-0000,高齢者施設,高齢者,有,かゆ食、流動食,自家発電機、たん吸引器,車いすでの敷地内移動、車いす対応トイレ,エアーマット、ギャッジ機能のあるベッド,食事・排泄等介助、在宅酸素
19,片倉温泉くぼた（デイサービスセンター）,宇部市大字西岐波5345番地,33.973319,131.299232,0836-19-0000,高齢者施設,高齢者,有,流動食、きざみ食,自家発電機、たん吸引器,車いすでの敷地内移動、車いす対応トイレ,ポータブルトイレ、車いす、歩行器,食事・排泄等介助、在宅酸素、トイレ誘導等施設内移動の介助
20,デイサービス小野湖畔リゾート,宇部市大字小野字松永10352-8,34.117173,131.32033,0836-20-0000,高齢者施設,高齢者,有,かゆ食、流動食,自家発電機、たん吸引器,車いすでの敷地内移動、車いす対応トイレ,エアーマット、ギャッジ機能のあるベッド、歩行器,在宅酸素、たん吸引、導尿
